id,word,pos,uk,us,meaning,file
010524,prima,adj.,\'priːmə,\'primə,adj.\<意>第一的,C:\GTT\EnglishDB\Words\p\prima.md
010525,primacy,n.,\'praɪməsɪ,\'praɪməsi,n.首位,C:\GTT\EnglishDB\Words\p\primacy.md
010526,primal,adj.,\'praɪm(ə)l,\'praɪml,adj.最初的,C:\GTT\EnglishDB\Words\p\primal.md
010527,primarily,adv.,\'praɪm(ə)rɪlɪ; praɪ\'mer-,praɪ\'mɛrəli,"adv.首先,起初,主要地,根本上",C:\GTT\EnglishDB\Words\p\primarily.md
010528,primary,adj.,\'praɪm(ə)rɪ,\'praɪmɛri,"adj.第一位的,主要的,初步的,初级的,原来的,根源的",C:\GTT\EnglishDB\Words\p\primary.md
010529,primate,n.,\'praɪmeɪt; -mət,\'praɪmet,"n.首领,大主教,灵长类的动物",C:\GTT\EnglishDB\Words\p\primate.md
010530,prime,n.,praɪm,praɪm,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,\<口>让人吃(喝)足,灌注,填装",C:\GTT\EnglishDB\Words\p\prime.md
010531,primer,n.,\'praɪmə,\'praɪmɚ,"n.初级读本,雷管",C:\GTT\EnglishDB\Words\p\primer.md
010532,primeval,adj.,praɪˈmiːvl,praɪˈmiːvl,adj.原始的,C:\GTT\EnglishDB\Words\p\primeval.md
010533,primitive,adj.,\'prɪmɪtɪv,\'prɪmətɪv,"adj.原始的,远古的,粗糙的,简单的",C:\GTT\EnglishDB\Words\p\primitive.md
010534,primordial,adj.,praɪ\'mɔːdɪəl,praɪ\'mɔrdɪəl,adj.原始的,C:\GTT\EnglishDB\Words\p\primordial.md
010535,prince,n.,prɪns,prɪns,n.王子,C:\GTT\EnglishDB\Words\p\prince.md
010536,princess,n.,prɪn\'ses,prɪnˌsɛs,n.公主,C:\GTT\EnglishDB\Words\p\princess.md
010537,principal,n.,\'prɪnsəp(ə)l,\'prɪnsəpl,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的",C:\GTT\EnglishDB\Words\p\principal.md
010538,principally,adv.,\'prɪnsɪp(ə)lɪ,\'prɪnsəpli,adv.主要地,C:\GTT\EnglishDB\Words\p\principally.md
010539,principle,n.,\'prɪnsɪp(ə)l,\'prɪnsəpl,"n.法则,原则,原理",C:\GTT\EnglishDB\Words\p\principle.md
010540,principled,adj.,\'prɪnsɪp(ə)ld,\'prɪnsəpld,"adj.原则性强的,有(道德)原则的",C:\GTT\EnglishDB\Words\p\principled.md
010541,print,n.,prɪnt,prɪnt,"n.版,印刷物,印迹,印章,印刷业,照片v.印刷,出版,印于,用印刷体写 [计]打印",C:\GTT\EnglishDB\Words\p\print.md
010542,printed,adj.,\'prɪntɪd,\'prɪntɪd,"adj.印刷的,已印好的",C:\GTT\EnglishDB\Words\p\printed.md
010543,printer,n.,\'prɪntə,\'prɪntɚ,"n.印刷工,打印机",C:\GTT\EnglishDB\Words\p\printer.md
010544,printing,n.,\'prɪntɪŋ,\'prɪntɪŋ,"n.印刷,印刷术,[纺]印花",C:\GTT\EnglishDB\Words\p\printing.md
010545,printout,n.,\'prɪntaʊt,\'prɪntaʊt,n.[计]打印输出,C:\GTT\EnglishDB\Words\p\printout.md
010546,prior,adj.,\'praɪə,\'praɪɚ,"adj.优先的,在前的n.预先adv.在",C:\GTT\EnglishDB\Words\p\prior.md
010547,prioritize,vt.,praɪˈɒrətaɪz,praɪˈɔːrətaɪz,vt.把\...区分优先次序,C:\GTT\EnglishDB\Words\p\prioritize.md
010548,priority,n.,praɪ\'ɒrɪtɪ,praɪ\'ɔrəti,"n.先,前,优先,优先权",C:\GTT\EnglishDB\Words\p\priority.md
010549,prism,n.,\'prɪz(ə)m,\'prɪzəm,"n.[物]棱镜,[数]棱柱",C:\GTT\EnglishDB\Words\p\prism.md
010550,prison,n.,\'prɪz(ə)n,\'prɪzn,n.监狱,C:\GTT\EnglishDB\Words\p\prison.md
010551,prisoner,adj.,\'prɪz(ə)nə,\'prɪznɚ,adj.囚犯的n.战俘,C:\GTT\EnglishDB\Words\p\prisoner.md
010552,pristine,adj.,\'prɪstiːn; -staɪn,\'prɪstin,adj.质朴的,C:\GTT\EnglishDB\Words\p\pristine.md
010553,privacy,n.,\'prɪvəsɪ; \'praɪ-,\'praɪvəsi,"n.独处而不受干扰,秘密",C:\GTT\EnglishDB\Words\p\privacy.md
010554,private,adj.,ˈpraɪvɪt,ˈpraɪvɪt,"adj.私人的,私有的,私营的,秘密的n.士兵",C:\GTT\EnglishDB\Words\p\private.md
010555,privately,adv.,\'praɪvɪtli,\'praɪvɪtli,"adv.私下地,秘密地",C:\GTT\EnglishDB\Words\p\privately.md
010556,privilege,n.,ˈprɪvəlɪdʒ,ˈprɪvəlɪdʒ,"n.特权,特别待遇,基本公民权力,特免vt.给与\...特权,特免",C:\GTT\EnglishDB\Words\p\privilege.md
010557,privileged,adj.,\'prɪvəlɪdʒd,\'prɪvəlɪdʒd,"adj.有特权的,有特别恩典的",C:\GTT\EnglishDB\Words\p\privileged.md
010558,privy,adj.,\'prɪvɪ,\'prɪvi,adj.个人的n.有利害关系的人,C:\GTT\EnglishDB\Words\p\privy.md
010559,prize,n.,praɪz,praɪz,"n.奖赏,奖金,奖品,捕获,捕获物,战利品adj.得奖的vt.珍视,估价,捕获,撬,撬开",C:\GTT\EnglishDB\Words\p\prize.md
010560,pro,adv.,prəʊ,pro,adv.正面地 (英国)档案局 PRO(Public Record Office),C:\GTT\EnglishDB\Words\p\pro.md
010561,probability,n.,prɒbə\'bɪlɪtɪ,\'prɑbə\'bɪləti,"n.可能性,或然性,概率",C:\GTT\EnglishDB\Words\p\probability.md
010562,probable,adj.,\'prɒbəb(ə)l,\'prɑbəbl,"adj.很可能的,大概的",C:\GTT\EnglishDB\Words\p\probable.md
010563,probably,adv.,\'prɒbəblɪ,\'prɑbəbli,"adv.大概,或许",C:\GTT\EnglishDB\Words\p\probably.md
010564,probation,n.,prə\'beɪʃ(ə)n,pro\'beʃən,"n.试用,见习,鉴定,查验,证明,察看,缓刑",C:\GTT\EnglishDB\Words\p\probation.md
010565,probe,n.,prəʊb,prob,"n.探针,探测器vt.(以探针等)探查,查明",C:\GTT\EnglishDB\Words\p\probe.md
010566,probing,n.,\'prəʊbɪŋ,\'probɪŋ,n.探通术,C:\GTT\EnglishDB\Words\p\probing.md
010567,problem,n.,\'prɒbləm,\'prɑbləm,"n.问题,难题",C:\GTT\EnglishDB\Words\p\problem.md
010568,problematic,adj.,prɒblə\'mætɪk,\'prɑblə\'mætɪk,"adj.问题的,有疑问的",C:\GTT\EnglishDB\Words\p\problematic.md
010569,procedural,adj.,prə\'siːdʒərəl,pro\'sidʒərəl,adj.程序上的,C:\GTT\EnglishDB\Words\p\procedural.md
010570,procedure,n.,prə\'siːdʒə,prə\'sidʒɚ,"n.程序,手续",C:\GTT\EnglishDB\Words\p\procedure.md
010571,proceed,vi.,prə\'siːd,pro\'sid,"vi.进行,继续下去,发生",C:\GTT\EnglishDB\Words\p\proceed.md
010572,proceeds,n.,\'prəʊsiːdz,\'prosidz,n.pl.收益,C:\GTT\EnglishDB\Words\p\proceeds.md
010573,process,n.,prəˈses;(for n.)ˈprəʊses,proˈsɛs;(for n.)prɑsɛs,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理",C:\GTT\EnglishDB\Words\p\process.md
010574,processing,,prəˈsesɪŋ,proˈsɛsɪŋ,处理,C:\GTT\EnglishDB\Words\p\processing.md
010575,procession,n.,prə\'seʃ(ə)n,prə\'sɛʃən,"n.行列,队伍",C:\GTT\EnglishDB\Words\p\procession.md
010576,processor,n.,\'prəʊsesə,\'prɑsɛsɚ,n.处理机 处理器,C:\GTT\EnglishDB\Words\p\processor.md
010577,proclaim,vt.,prə\'kleɪm,prə\'klem,"vt.宣布,声明,显示,显露",C:\GTT\EnglishDB\Words\p\proclaim.md
010578,proclamation,n.,prɒklə\'meɪʃn,",prɑklə\'meʃən",n.宣布,C:\GTT\EnglishDB\Words\p\proclamation.md
010579,proclivity,n.,prə\'klɪvɪtɪ,prə\'klɪvəti,n.倾向,C:\GTT\EnglishDB\Words\p\proclivity.md
010580,procure,v.,prə\'kjʊə,prə\'kjʊr,"v.获得,取得",C:\GTT\EnglishDB\Words\p\procure.md
010581,procurement,n.,prə\'kjʊəmənt,prə\'kjʊrmənt,"n.获得,取得",C:\GTT\EnglishDB\Words\p\procurement.md
010582,prodigious,adj.,prə\'dɪdʒəs,prə\'dɪdʒəs,adj.巨大的,C:\GTT\EnglishDB\Words\p\prodigious.md
010583,prodigy,n.,\'prɒdɪdʒɪ,\'prɑdədʒi,"n.惊人的事物,天才(特指神童),奇观,奇事",C:\GTT\EnglishDB\Words\p\prodigy.md
010584,produce,n.,prəˈdju:s;(for n.)ˈprɒdju:s,prəˈdus;(for n.)ˈprɒdus; prɑdus,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作",C:\GTT\EnglishDB\Words\p\produce.md
010585,producer,n.,prə\'djuːsə,prə\'dʊsɚ,"n.生产者,制作者,演出人,(电影)制片人",C:\GTT\EnglishDB\Words\p\producer.md
010586,product,n.,\'prɒdʌkt,\'prɑdʌkt,"n.产品,产物,乘积",C:\GTT\EnglishDB\Words\p\product.md
010587,production,n.,prə\'dʌkʃ(ə)n,prə\'dʌkʃən,"n.生产,产品,作品,(研究)成果",C:\GTT\EnglishDB\Words\p\production.md
010588,productive,adj.,prə\'dʌktɪv,prə\'dʌktɪv,"adj.生产性的,生产的,能产的,多产的",C:\GTT\EnglishDB\Words\p\productive.md
010589,productivity,n.,prɒdʌk\'tɪvɪtɪ,",prodʌk\'tɪvəti",n.生产力,C:\GTT\EnglishDB\Words\p\productivity.md
010590,profane,adj.,prə\'feɪn,prə\'fen,adj.亵渎的v.亵渎,C:\GTT\EnglishDB\Words\p\profane.md
010591,profanity,n.,prə\'fænɪtɪ,prə\'fænəti,n.亵渎,C:\GTT\EnglishDB\Words\p\profanity.md
010592,profess,v.,prə\'fes,prə\'fɛs,v.表示,C:\GTT\EnglishDB\Words\p\profess.md
010593,profession,n.,prə\'feʃ(ə)n,prə\'fɛʃən,"n.职业,专业,表白,宣布",C:\GTT\EnglishDB\Words\p\profession.md
010594,professional,n.,prə\'feʃ(ə)n(ə)l,prə\'fɛʃənl,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的",C:\GTT\EnglishDB\Words\p\professional.md
010595,professionalism,n.,prə\'feʃ(ə)n(ə)lɪz(ə)m,prə\'fɛʃənə\'lɪzəm,"n.专家的地位,特性或方法,专业主义",C:\GTT\EnglishDB\Words\p\professionalism.md
010596,professionally,adv.,prəˈfeʃənəli,prəˈfeʃənəli,"adv.专业地,内行地",C:\GTT\EnglishDB\Words\p\professionally.md
010597,professor,n.,prə\'fesə,prə\'fɛsɚ,"n.教授,公开表示信仰的人",C:\GTT\EnglishDB\Words\p\professor.md
010598,proffer,v.,\'prɒfə,\'prɑfɚ,v.提供n.提供,C:\GTT\EnglishDB\Words\p\proffer.md
010599,proficiency,n.,prə\'fɪʃ(ə)nsɪ,prə\'fɪʃənsi,"n.熟练,精通,熟练程度",C:\GTT\EnglishDB\Words\p\proficiency.md
010600,proficient,n.,prə\'fɪʃ(ə)nt,prə\'fɪʃnt,n.精通,C:\GTT\EnglishDB\Words\p\proficient.md
010601,profile,n.,\'prəʊfaɪl,\'profaɪl,"n.剖面,侧面,外形,轮廓",C:\GTT\EnglishDB\Words\p\profile.md
010602,profit,n.,\'prɒfɪt,\'prɑfɪt,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于",C:\GTT\EnglishDB\Words\p\profit.md
010603,profitability,n.,ˌprɒfɪtəˈbɪlɪti,ˌprɑfɪtəˈbɪlɪti,"n.收益性,利益率",C:\GTT\EnglishDB\Words\p\profitability.md
010604,profitable,adj.,\'prɒfɪtəb(ə)l,\'prɑfɪtəbl,adj.有利可图的,C:\GTT\EnglishDB\Words\p\profitable.md
010605,profound,adj.,prə\'faʊnd,prə\'faʊnd,"adj.深刻的,意义深远的,渊博的,造诣深的",C:\GTT\EnglishDB\Words\p\profound.md
010606,profoundly,adv.,prə\'faʊndlɪ,prə\'faʊndli,"adv.深深地,衷心地",C:\GTT\EnglishDB\Words\p\profoundly.md
010607,profusely,adv.,prə\'fjuːsli,prə\'fjuːsli,adv.丰富地,C:\GTT\EnglishDB\Words\p\profusely.md
010608,profusion,n.,prə\'fjuːʒ(ə)n,prəˈfjuʒən,n.丰富,C:\GTT\EnglishDB\Words\p\profusion.md
010609,progeny,n.,\'prɒdʒənɪ,\'prɑdʒəni,n.后裔,C:\GTT\EnglishDB\Words\p\progeny.md
010610,prognosis,n.,prɒg\'nəʊsɪs,prɑg\'nosɪs,n.预后,C:\GTT\EnglishDB\Words\p\prognosis.md
010611,program,n.,\'prəʊɡræm,\'proɡræm,"n.节目,程序,纲要,计划vt.规划,拟\...计划,安排\...入节目vi.安排节目,编程序 (电脑)程序,(电视)节目",C:\GTT\EnglishDB\Words\p\program.md
010612,programmatic,adj.,prəʊɡrə\'mætɪk,",proɡrə\'mætɪk","adj.标题音乐的,节目的",C:\GTT\EnglishDB\Words\p\programmatic.md
010613,programmer,n.,\'prəʊgræmə,\'progræmɚ,"n.程序师,程序规划员",C:\GTT\EnglishDB\Words\p\programmer.md
010614,programming,n.,\'prəʊɡræmɪŋ,\'proɡræmɪŋ,"n.规划,设计",C:\GTT\EnglishDB\Words\p\programming.md
010615,progress,n.,\'prəʊgres,\'prɑɡrɛs,"n.前进,进步,发展vi.前进,进步,进行",C:\GTT\EnglishDB\Words\p\progress.md
010616,progression,n.,prə\'greʃ(ə)n,prə\'ɡrɛʃən,"n.行进,级数",C:\GTT\EnglishDB\Words\p\progression.md
010617,progressive,n.,prə\'gresɪv,prə\'ɡrɛsɪv,"n.改革论者,进步论者adj.前进的,(税收)累进的,进步的",C:\GTT\EnglishDB\Words\p\progressive.md
010618,progressively,adv.,prəˈgresɪvli,prə\'ɡrɛsɪvli,adv.日益增多地,C:\GTT\EnglishDB\Words\p\progressively.md
010619,prohibit,vt.,prə(ʊ)\'hɪbɪt,prə\'hɪbɪt,"vt.禁止,阻止",C:\GTT\EnglishDB\Words\p\prohibit.md
010620,prohibition,n.,",prəʊhɪ\'bɪʃ(ə)n; prəʊɪ-",prohɪˈbɪʃən,"n.禁止,阻止,\<美>禁酒令",C:\GTT\EnglishDB\Words\p\prohibition.md
010621,prohibitive,adj.,prə(ʊ)\'hɪbɪtɪv,prə\'hɪbətɪv,"adj.禁止的,抑制的",C:\GTT\EnglishDB\Words\p\prohibitive.md
010622,project,n.,prəˈdʒekt; ˈprɒdʒekt,,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出",C:\GTT\EnglishDB\Words\p\project.md
010623,projectile,n.,prə(ʊ)\'dʒektaɪl; -tɪl,prə\'dʒɛktl,n.射弹adj.发射的,C:\GTT\EnglishDB\Words\p\projectile.md
010624,projecting,adj.,prəˈdʒektɪŋ,prəˈdʒektɪŋ,"adj.突出的,伸出的",C:\GTT\EnglishDB\Words\p\projecting.md
010625,projection,n.,prə\'dʒekʃ(ə)n,prə\'dʒɛkʃən,n.发射,C:\GTT\EnglishDB\Words\p\projection.md
010626,projector,n.,prə\'dʒektə,prə\'dʒɛktɚ,n.放映机,C:\GTT\EnglishDB\Words\p\projector.md
010627,proliferate,v.,prə\'lɪfəreɪt,prə\'lɪfə\'ret,v.增生扩散,C:\GTT\EnglishDB\Words\p\proliferate.md
010628,proliferation,n.,prəˌlɪfəˈreɪʃn,prəˌlɪfəˈreɪʃn,"n.增殖,分芽繁殖",C:\GTT\EnglishDB\Words\p\proliferation.md
010629,prolific,adj.,prə\'lɪfɪk,prə\'lɪfɪk,"adj.多产的,丰富的,大量繁殖的",C:\GTT\EnglishDB\Words\p\prolific.md
010630,prologue,n.,\'prəʊlɒg,\'prolɔɡ,n.序言,C:\GTT\EnglishDB\Words\p\prologue.md
010631,prolong,vt.,prə\'lɒŋ,prəˈlɑːŋ,"vt.延长,拖延",C:\GTT\EnglishDB\Words\p\prolong.md
010632,prolonged,adj.,prə\'lɒŋd,pro\'lɔŋd,"adj.延长的,拖延的",C:\GTT\EnglishDB\Words\p\prolonged.md
010633,promenade,n.,",prɒmə\'nɑːd; -\'neɪd; \'prɒm-",",prɑmə\'ned",n.散步v.散步adj.散步的,C:\GTT\EnglishDB\Words\p\promenade.md
010634,prominence,n.,\'prɒmɪnəns,\'prɑmɪnəns,"n.突出,显著,突出物",C:\GTT\EnglishDB\Words\p\prominence.md
010635,prominent,adj.,\'prɒmɪnənt,\'prɑmɪnənt,"adj.卓越的,显著的,突出的",C:\GTT\EnglishDB\Words\p\prominent.md
010636,prominently,adv.,\'prɒmɪnəntli,\'prɒmɪnəntli,adv.显著地,C:\GTT\EnglishDB\Words\p\prominently.md
010637,promiscuity,n.,ˌprɒmɪˈskju:ətɪ,ˌprɑmɪsˈkjuətɪ,"n.混乱,杂乱,尤指男女乱交",C:\GTT\EnglishDB\Words\p\promiscuity.md
010638,promiscuous,adj.,prə\'mɪskjʊəs,prə\'mɪskjuəs,adj.混杂的,C:\GTT\EnglishDB\Words\p\promiscuous.md
010639,promise,vt.,\'prɒmɪs,\'prɑmɪs,"vt.允诺,答应n.允诺,答应,许诺",C:\GTT\EnglishDB\Words\p\promise.md
010640,promising,adj.,\'prɒmɪsɪŋ,\'prɑmɪsɪŋ,"adj.有希望的,有前途的",C:\GTT\EnglishDB\Words\p\promising.md
010641,promote,vt.,prə\'məʊt,prə\'mot,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级",C:\GTT\EnglishDB\Words\p\promote.md
010642,promoter,n.,prə\'məʊtə,prə\'motɚ,"n.促进者,助长者",C:\GTT\EnglishDB\Words\p\promoter.md
010643,promotion,n.,prə\'məʊʃn,prə\'moʃən,"n.促进,发扬,提升,提拔,晋升",C:\GTT\EnglishDB\Words\p\promotion.md
010644,promotional,adj.,prə\'məʊʃənl,prə\'moʃənl,"adj.增进的,奖励的",C:\GTT\EnglishDB\Words\p\promotional.md
010645,prompt,n.,prɒm(p)t,prɑmpt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地",C:\GTT\EnglishDB\Words\p\prompt.md
010646,promptly,adv.,\'prɒm(p)tlɪ,\'prɑmptli,"adv.敏捷地,迅速地",C:\GTT\EnglishDB\Words\p\promptly.md
010647,promulgate,vt.,\'prɒm(ə)lgeɪt,\'prɑmlɡet,"vt.发布,公布,传播",C:\GTT\EnglishDB\Words\p\promulgate.md
010648,prone,adj.,prəʊn,pron,adj.倾向于,C:\GTT\EnglishDB\Words\p\prone.md
010649,prong,n.,prɒŋ,prɔŋ,"n.叉子,干草耙,尖头vt.刺,戳,贯穿",C:\GTT\EnglishDB\Words\p\prong.md
010650,pronoun,n.,\'prəʊnaʊn,\'pronaʊn,n.代名词,C:\GTT\EnglishDB\Words\p\pronoun.md
010651,pronounce,v.,prə\'naʊns,prə\'naʊns,"v.发音,宣告,断言",C:\GTT\EnglishDB\Words\p\pronounce.md
010652,pronounced,adj.,prə\'naʊnst,prə\'naʊnst,"adj.讲出来的,显著的,断然的,明确的",C:\GTT\EnglishDB\Words\p\pronounced.md
010653,pronouncement,n.,prə\'naʊnsm(ə)nt,prə\'naʊnsmənt,n.声明,C:\GTT\EnglishDB\Words\p\pronouncement.md
010654,pronunciation,n.,"prə,nʌnsɪ\'eɪʃ(ə)n","prə,nʌnsɪ\'eʃən","n.发音,读法",C:\GTT\EnglishDB\Words\p\pronunciation.md
010655,proof,n.,pruːf,pruf,"n.证据,试验,考验,[印刷]校样adj.不能透入的,证明用的,防\...的,有耐力的vt.检验,校对,使不被穿透",C:\GTT\EnglishDB\Words\p\proof.md
010656,prop,n.,prɒp,prɑp,"n.支持者,倚靠人,道具,螺旋桨vt.支撑,维持",C:\GTT\EnglishDB\Words\p\prop.md
010657,propaganda,n.,prɒpə\'gændə,\'prɑpə\'gændə,"n.宣传,[天主教]传道总会",C:\GTT\EnglishDB\Words\p\propaganda.md
010658,propagate,v.,\'prɒpəgeɪt,\'prɑpə\'get,"v.繁殖,传播,宣传",C:\GTT\EnglishDB\Words\p\propagate.md
010659,propagation,n.,",prɒpə\'ɡeɪʃən",ˌprɑpəˈgeʃən,"n.动植物,繁殖,(声波,电磁辐射等)传播",C:\GTT\EnglishDB\Words\p\propagation.md
010660,propane,n.,\'prəʊpeɪn,\'pro\'pen,n.[化]丙烷,C:\GTT\EnglishDB\Words\p\propane.md
010661,propel,vt.,prə\'pel,prə\'pɛl,"vt.推进,驱使",C:\GTT\EnglishDB\Words\p\propel.md
010662,propeller,n.,prə\'pelə,prə\'pɛlɚ,"n.推进者,推进物,尤指轮船,飞机上的螺旋推进器",C:\GTT\EnglishDB\Words\p\propeller.md
010663,propensity,n.,prə\'pensɪtɪ,prə\'pɛnsəti,n.倾向,C:\GTT\EnglishDB\Words\p\propensity.md
010664,proper,adj.,\'prɒpə,\'prɑpɚ,"adj.适当的,正确的,固有的,特有的,有礼貌的,正当的,严格意义上的,彻底的",C:\GTT\EnglishDB\Words\p\proper.md
010665,properly,adv.,\'prɒp(ə)lɪ,\'prɑpɚli,"adv.适当地,完全地",C:\GTT\EnglishDB\Words\p\properly.md
010666,property,n.,\'prɒpətɪ,\'prɑpɚti,"n.财产,所有物,所有权,性质,特性,(小)道具",C:\GTT\EnglishDB\Words\p\property.md
010667,prophecy,n.,\'prɒfɪsɪ,\'prɑfəsi,"n.预言,预言能力",C:\GTT\EnglishDB\Words\p\prophecy.md
010668,prophesy,v.,\'prɒfɪsaɪ,\'prɑfəsaɪ,"v.预言,预报",C:\GTT\EnglishDB\Words\p\prophesy.md
010669,prophet,n.,\'prɒfɪt,\'prɑfɪt,"n.先知,预言者,提倡者",C:\GTT\EnglishDB\Words\p\prophet.md
010670,prophetic,adj.,prə\'fetɪk,prə\'fɛtɪk,adj.预言的,C:\GTT\EnglishDB\Words\p\prophetic.md
010671,proponent,n.,prə\'pəʊnənt,prə\'ponənt,"n.建议者,支持者,[律]提出认证遗嘱者",C:\GTT\EnglishDB\Words\p\proponent.md
010672,proportion,n.,prə\'pɔːʃ(ə)n,prə\'pɔrʃən,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊",C:\GTT\EnglishDB\Words\p\proportion.md
010673,proportional,adj.,prə\'pɔːʃ(ə)n(ə)l,prə\'pɔrʃənl,"adj.比例的,成比例的,相称的,均衡的",C:\GTT\EnglishDB\Words\p\proportional.md
010674,proposal,n.,prə\'pəʊz(ə)l,prə\'pozl,"n.提议,建议",C:\GTT\EnglishDB\Words\p\proposal.md
010675,propose,vt.,prə\'pəʊz,prə\'poz,"vt.计划,建议,向\...提议,求(婚)vi.打算,求婚",C:\GTT\EnglishDB\Words\p\propose.md
010676,proposed,,prəˈpəʊzd,prəˈpozd,被提议的,C:\GTT\EnglishDB\Words\p\proposed.md
010677,proposition,n.,prɒpə\'zɪʃ(ə)n,",prɑpə\'zɪʃən","n.主张,建议,陈述,命题",C:\GTT\EnglishDB\Words\p\proposition.md
010678,proprietary,adj.,prə\'praɪət(ə)rɪ,prə\'praɪətɛri,"adj.所有的,私人拥有的n.所有者,所有权",C:\GTT\EnglishDB\Words\p\proprietary.md
010679,proprietor,n.,prə\'praɪətə,prə\'praɪətɚ,"n.所有者,经营者",C:\GTT\EnglishDB\Words\p\proprietor.md
010680,propriety,n.,prə\'praɪətɪ,prə\'praɪəti,n.适当,C:\GTT\EnglishDB\Words\p\propriety.md
010681,propulsion,n.,prə\'pʌlʃ(ə)n,prə\'pʌlʃən,"n.推进,推进力",C:\GTT\EnglishDB\Words\p\propulsion.md
010682,prosaic,adj.,prə(ʊ)\'zeɪɪk,prə\'zeɪk,"adj.散文的,散文体的,平凡的",C:\GTT\EnglishDB\Words\p\prosaic.md
010683,prosciutto,n.,prə\'ʃuːtəʊ,pro\'ʃuto,"n.意大利熏火腿(切成薄片,常与甜瓜或无花果配成一道菜)",C:\GTT\EnglishDB\Words\p\prosciutto.md
010684,prose,n.,prəʊz,proz,n.散文,C:\GTT\EnglishDB\Words\p\prose.md
010685,prosecute,vt.,\'prɒsɪkjuːt,\'prɑsɪ\'kjʊt,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官",C:\GTT\EnglishDB\Words\p\prosecute.md
010686,prosecution,n.,prɒsɪ\'kjuːʃ(ə)n,",prɑsɪ\'kjuʃən","n.进行,经营,检举,起诉",C:\GTT\EnglishDB\Words\p\prosecution.md
010687,prosecutor,n.,\'prɒsɪkjuːtə,\'prɑsɪ\'kjʊtɚ,n.检举人,C:\GTT\EnglishDB\Words\p\prosecutor.md
010688,prospect,n.,\'prɒspekt,\'prɑspɛkt,"n.景色,前景,前途,期望vi.寻找,勘探",C:\GTT\EnglishDB\Words\p\prospect.md
010689,prospective,adj.,prə\'spektɪv,prə\'spɛktɪv,adj.预期的,C:\GTT\EnglishDB\Words\p\prospective.md
010690,prospector,n.,prəʊ\'spektə,\'prɑspɛktɚ,"n.探勘者,采矿者",C:\GTT\EnglishDB\Words\p\prospector.md
010691,prospectus,n.,prə\'spektəs,prə\'spɛktəs,"n.内容说明书,样张",C:\GTT\EnglishDB\Words\p\prospectus.md
010692,prosper,v.,\'prɒspə,\'prɑspɚ,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣",C:\GTT\EnglishDB\Words\p\prosper.md
010693,prosperity,n.,prɒ\'sperɪtɪ,prɑ\'spɛrətɪ,n.繁荣,C:\GTT\EnglishDB\Words\p\prosperity.md
010694,prosperous,adj.,\'prɒsp(ə)rəs,\'prɑspərəs,adj.繁荣的,C:\GTT\EnglishDB\Words\p\prosperous.md
010695,prostate,adj.,\'prɒsteɪt,\'prɑstet,adj.前列腺的n.前列腺,C:\GTT\EnglishDB\Words\p\prostate.md
010696,prosthesis,n.,"prɒs\'θiːsɪs; \'prɒsθɪ,sɪs",prɑs\'θisɪs,"n.弥补,添字首音",C:\GTT\EnglishDB\Words\p\prosthesis.md
010697,prostitute,n.,\'prɒstɪtjuːt,\'prɑstətut,n.妓女,C:\GTT\EnglishDB\Words\p\prostitute.md
010698,prostitution,n.,",prɒstɪ\'tʃuːʃn ; ,prɒstɪ\'tjuːʃn",\'prɑstə\'tʊʃən,"n.卖淫,堕落,滥用,糟蹋",C:\GTT\EnglishDB\Words\p\prostitution.md
010699,protagonist,n.,prə\'tæg(ə)nɪst,prə\'tæɡənɪst,"n.(戏剧,故事,小说中的)主角,领导者,积极参加者",C:\GTT\EnglishDB\Words\p\protagonist.md
010700,protect,vt.,prə\'tekt,prə\'tɛkt,vt.保护 /n.保护/解除,C:\GTT\EnglishDB\Words\p\protect.md
010701,protection,n.,prə\'tekʃ(ə)n,prə\'tɛkʃən,n.保护,C:\GTT\EnglishDB\Words\p\protection.md
010702,protectionism,n.,prə\'tekʃənɪzəm,prə\'tɛkʃə\'nɪzəm,n.保护主义,C:\GTT\EnglishDB\Words\p\protectionism.md
010703,protectionist,n.,prəʊ\'tekʃənɪst,prə\'tɛkʃənɪst,n.保护贸易论者adj.保护贸易论的,C:\GTT\EnglishDB\Words\p\protectionist.md
010704,protective,adj.,prə\'tektɪv,prə\'tɛktɪv,"adj.给予保护的,保护的",C:\GTT\EnglishDB\Words\p\protective.md
010705,protector,n.,prə\'tektə,prə\'tɛktɚ,n.保护者,C:\GTT\EnglishDB\Words\p\protector.md
010706,protege,n.,ˈprəʊtɛʒeɪ,ˈproʊtəʒˌeɪ,n.被保护人,C:\GTT\EnglishDB\Words\p\protege.md
